"filename","rel_path","primary_category","all_categories","pilier","phase","statut","is_omega","size_bytes","lines_total","lines_code","lines_comments","imports_count","risques","sha256"
"audit_especes_omega.py","v8_institutional/especes/audit_especes_omega.py","AUDIT_BCE4X_Ω","AUDIT_BCE4X_Ω|LEGACY_V8","AUDIT","PHASE_XII","ACTIF","TRUE","14485","315","264","15","15","","17ddafa6f68781c2922a3af6725ab5ea5e3b7758a1b7552bd77f209cc78534b4"
"audit_longitudinal_omega.py","v8_institutional/especes/audit_longitudinal_omega.py","AUDIT_LONGITUDINAL_Ω","AUDIT_LONGITUDINAL_Ω|LEGACY_V8","AUDIT","PHASE_XIV","ACTIF","TRUE","9748","245","219","4","9","","104fc8eb497122a9c879bb65a3815cbda0489872ecc2b355d393192289bf06a8"
"bio_reacteur_loader_omega.py","v8_institutional/especes/bio_reacteur_loader_omega.py","BIO_REACTEUR_RUNTIME_Ω","BIO_REACTEUR_RUNTIME_Ω","BIO_REACTEUR","PHASE_XIII","ACTIF","TRUE","10247","239","205","2","12","","067cf7aa7ea535564b7ac2d386de2bafd82eda5a085e42a77bbbdc461750e727"
"sceau_phase_xiii_validator_omega.py","v8_institutional/especes/sceau_phase_xiii_validator_omega.py","CI_HOOK_SCEAU_Ω","CI_HOOK_SCEAU_Ω|LEGACY_V8","CI_HOOK","PHASE_XIV","ACTIF","TRUE","6908","167","145","0","9","","86af448153979795f0cc626e40ae8f034a3b4be44454df5651e75b799500b490"
"engine_chevreuil_omega.py","v8_institutional/especes/engine_chevreuil_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","6594","132","123","0","11","","7fa3584b6afa29a49a75b44814d164fa4d42057a6c04e776d1cca4be5dbab796"
"engine_dindon_omega.py","v8_institutional/especes/engine_dindon_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","7453","145","134","3","10","","c1fc49d44802dad0bae09061735599b17efa8e33fabf15c22c2bc5ad6f2e56d1"
"engine_especes_omega.py","v8_institutional/especes/engine_especes_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","6746","160","143","2","20","","8c4205d814fa91f067e86d7ef13b77b20c0db52cb65b71e03b80415a5bc2a370"
"engine_orignal_omega.py","v8_institutional/especes/engine_orignal_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","6770","133","124","1","11","","fe79ebc37531f052bf9567b7375040a3b41adc822941174cf641d3d9d8766546"
"engine_ours_noir_omega.py","v8_institutional/especes/engine_ours_noir_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","6583","130","121","2","11","","3f9c28e206eb21136bf5e0c5abae6a098219b06878178496168cd1348893aea9"
"engine_wapiti_omega.py","v8_institutional/especes/engine_wapiti_omega.py","ENGINE_ESPECE_Ω","ENGINE_ESPECE_Ω","ESPECE","PHASE_XII","ACTIF","TRUE","6770","133","124","1","11","","5d3b0f0f765c0a77deb486bd2056f2e4a7e10c45422b90a344d686c64343f917"
"engine_ia_omega.py","v8_institutional/scientifique_omega/engine_ia_omega.py","ENGINE_IA_Ω","ENGINE_IA_Ω","IA","PHASE_XV_BLOC_2","ACTIF","TRUE","10304","228","206","2","13","","f716b870a7185f5a7aa54d762d817479c5088ec56592261b0cf1c32a1f2b234c"
"__init__.py","v8_institutional/especes/__init__.py","ESPECES_SUPPORT","ESPECES_SUPPORT|LEGACY_V8","LEGACY","V8","ACTIF","FALSE","5960","144","121","0","9","","5842df8138d021b59556d5357a671d194a74d97d11eae75b1d9dd10700fb130c"
"x6012_regulatory_compliance_engine.py","nutrition_intelligence/x6012_regulatory_compliance_engine.py","IA_LEGACY","IA_LEGACY","IA","—","ACTIF","FALSE","11499","208","186","5","0","","e07d6a282633551e4b4e4a5cae1b6a68c14f4a6367dec20c55fe0e56c857fa28"
"__init__.py","supra_engine_v7/__init__.py","LEGACY_SUPRA","LEGACY_SUPRA","LEGACY","SUPRA","ACTIF","FALSE","52","1","0","1","0","","f22160ec405072494e0ab0c67c73d85e1eb559fb1c0894d08bbb37384d729a94"
"__init__.py","supra_advanced/__init__.py","LEGACY_SUPRA","LEGACY_SUPRA","LEGACY","SUPRA","ACTIF","FALSE","36","1","0","1","0","","06bbb37510fa098d2261e6a97008a0df59d9f1d45c7bb6bc65359d0d2fcd7558"
