"section","parametre","CHEVREUIL","ORIGNAL","OURS_NOIR","WAPITI","DINDON_SAUVAGE","taux_acceptation"
"Section A","comportements_saisonniers","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","corridors","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","habitat","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","nutrition","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","pression_humaine","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","maladies","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","thermoregulation","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","neige","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","sites_critiques","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","interactions_interespeces","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section A","modeles_RSF_SSF_MaxEnt","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","inputs_definis","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","outputs_definis","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","dependances_internes","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","dependances_externes","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","couches_emises_zindex","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","formats_sortie_JSON","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","contraintes_BCE4X_no_vulgarisation","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section B","sources_GOV_UNI_PR_DOI","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section C","ordre_execution_pipeline","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section C","compatibilite_ENGINE_IA_CORRIDORS_Ω","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section C","compatibilite_ENGINE_CONTAMINATION_SALINES_INSPECTION_BIO","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section C","performance_sub_1s","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
"Section C","marker_ENGINE_ESPECE_*_Ω","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","ACCEPTÉ","5/5"
