"engine_name","version","family","pillar","phase","status","is_used","path_rel","module","sha256","size_bytes","summary","imports_local","external_apis","layers_emitted","risks"
"router","MFFP_2026_ZONE_2_BSL_X200_P2_SYNC_Ω","Ω","GOUVERNANCE","Ω-X","ACTIF_Ω","True","engines/legal_time_omega/router.py","engines.legal_time_omega.router","3212acc450f2667a82e0a5f013a54f86a95153dfaed93e5da1fc3a16bd216077","8210","ENGINE_LEGAL_TIME_Ω — Router FastAPI — X199 ACTIVÉ","engines.x199_commons","POST /|GET /status","","—"
"anti_regression_omega","—","Ω","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/post_smoothing/anti_regression_omega.py","engines.post_smoothing.anti_regression_omega","c644223b4c90fd36bc58f6be2ee4c78634b035f88aaf548ed0bfff04e8893d7a","13837","anti_regression_omega.py — PHASE_X200_P6_ANTI_RÉGRESSION_Ω","","","","—"
"baseline_registry_omega","—","Ω","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/post_smoothing/baseline_registry_omega.py","engines.post_smoothing.baseline_registry_omega","6712bc21dd619fef44a7c948c48a0eba74670c77d09cc7799f7794d91d6d2d1e","4451","baseline_registry_omega.py — PHASE_XII_SUPRA_CORRIDORS_VEINEUX_Ω_ULTIME_ENFORCEMENT_P0","","","","—"
"interzone_omega","—","Ω","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/post_smoothing/interzone_omega.py","engines.post_smoothing.interzone_omega","c612b36046314f6890856c97085154818b809922e2b1bd3623ce371ea119d24a","25719","interzone_omega.py — PHASE_XII_SUPRA_CORRIDORS_VEINEUX_Ω_INTERZONE_GENERATION","","","corridors|zones|salines","—"
"veineux_omega","—","Ω","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/post_smoothing/veineux_omega.py","engines.post_smoothing.veineux_omega","180b65c30dccb7c62e24d382135a4b260b7f9c78cafe2b2a7ca05942e63621ff","21073","veineux_omega.py — PHASE_XII_SUPRA_CORRIDORS_VEINEUX_Ω_ULTIME","engines.v8_institutional.species_modulator_omega","","corridors","—"
"corridors_vitaux_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/corridors_vitaux_omega.py","engines.v8_institutional.corridors_vitaux_omega","1c6ca2b9e04f88bc1c2abf7e825ab756741476fa5ee12683d0518b116850fd49","22028","corridors_vitaux_omega.py — PHASE_XVIII_ENGINE_CORRIDORS_VITAUX_Ω","","","corridors|zones|salines|hotspots","—"
"ecological_orchestrator_omega","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/ecological_orchestrator_omega.py","engines.v8_institutional.ecological_orchestrator_omega","01f9e940a063b6c58c11b610d13c6a1f499f989a25c733fb964e595002dce14b","20638","ecological_orchestrator_omega.py — PHASE_XVII_SUPRA_ENGINE_CORRIDORS_ECOLOGIQUE_Ω","engines.v8_institutional.species_modulator_omega","","corridors|zones|salines","—"
"engine_affuts","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_affuts.py","engines.v8_institutional.engine_affuts","fedc1e8480b48b2b8dbb9330e24dd351d9eb6c228ffba7c4b0456d4cab0c8610","466","ENGINE 03 — AFFUTS","engines.v8_national.phase_b_engines","","","—"
"engine_audio_acoustique","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_audio_acoustique.py","engines.v8_institutional.engine_audio_acoustique","f418835be0cea9863cb7da6a72c45b5bddf267b60dd9bbc8249be0a6ccdf0ebf","4222","ENGINE 19 — AUDIO-ACOUSTIQUE (sonar passif)","engines.v8_national.phase_b_engines","","","—"
"engine_bio_signes","—","V8_INSTITUTIONAL","GOUVERNANCE","Ω","ACTIF_Ω","True","engines/v8_institutional/engine_bio_signes.py","engines.v8_institutional.engine_bio_signes","734dd78460281c8194c22ef74b8b9644f9c7c5bbcf857a5707d3463e0b91f1ee","4562","ENGINE 18 — BIO-SIGNES (ADN visuel + chimie visuelle + fraicheur)","engines.v8_national.phase_b_engines","","","—"
