"espece_id","section","subsection","champ","valeur","ordre","doctrine","activation_status"
"ORIGNAL","classification","","famille","Cervidae","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","classification","","genre","Alces","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","classification","","espece","alces / americanus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","classification","","nom_scientifique","Alces alces / Alces americanus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","printemps","deplacements","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","printemps","alimentation","recherche de végétation riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","printemps","reproduction","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","printemps","habitat","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","ete","thermoregulation","sélection d’habitats thermiques (zones humides, forêts denses)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","ete","habitat","sélection d’habitats thermiques (zones humides, forêts denses)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","ete","alimentation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","automne","rut","rut, déplacements accrus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"ORIGNAL","comportements_saisonniers","automne","hyperphagie","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
