"espece_id","section","subsection","champ","valeur","ordre","doctrine","activation_status"
"WAPITI","classification","","famille","Cervidae","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","classification","","genre","Cervus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","classification","","espece","canadensis","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","classification","","nom_scientifique","Cervus canadensis","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","printemps","deplacements","dispersion des mâles, recherche de végétation riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","printemps","alimentation","dispersion des mâles, recherche de végétation riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","printemps","reproduction","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","printemps","habitat","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","ete","thermoregulation","sélection de zones ouvertes avec accès à couvert forestier pour thermorégulation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","ete","habitat","sélection de zones ouvertes avec accès à couvert forestier pour thermorégulation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","ete","alimentation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","automne","rut","rut, déplacements accrus, formation de harems","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","automne","hyperphagie","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","automne","deplacements","rut, déplacements accrus, formation de harems","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","hiver","ravages","regroupement dans zones à faible neige, dépendance au couvert","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","hiver","zones_refuge","regroupement dans zones à faible neige, dépendance au couvert","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","comportements_saisonniers","hiver","mobilite","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"WAPITI","habitat","","types_couverts","prairies ouvertes adjacentes à forêts mixtes","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
