"espece_id","engine_destination","param_label","bio_profile_path","value_type","value_card","value_preview","is_generic","is_null","source_bio_profile_sha256","doctrine","ordre","generated_at_utc"
"CHEVREUIL","ENGINE_COMPORTEMENT","PARAMETRES_CHEVREUIL_COMPORTEMENT","comportements_saisonniers.printemps","dict","5","['deplacements', 'alimentation', 'reproduction', 'habitat', 'raw_bullets']","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_COMPORTEMENT","PARAMETRES_CHEVREUIL_COMPORTEMENT","comportements_saisonniers.ete","dict","4","['thermoregulation', 'habitat', 'alimentation', 'raw_bullets']","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_COMPORTEMENT","PARAMETRES_CHEVREUIL_COMPORTEMENT","comportements_saisonniers.automne","dict","4","['rut', 'hyperphagie', 'deplacements', 'raw_bullets']","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_COMPORTEMENT","PARAMETRES_CHEVREUIL_COMPORTEMENT","comportements_saisonniers.hiver","dict","4","['ravages', 'zones_refuge', 'mobilite', 'raw_bullets']","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_SENSORIEL","PARAMETRES_CHEVREUIL_SENSORIEL","thermoregulation.seuil_stress","float","1","27.0","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_SENSORIEL","PARAMETRES_CHEVREUIL_SENSORIEL","neige.seuil_mobilite","float","1","45.0","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_SENSORIEL","PARAMETRES_CHEVREUIL_SENSORIEL","neige.seuil_mortalite","null","0","","NON","OUI","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_SENSORIEL","PARAMETRES_CHEVREUIL_SENSORIEL","thermoregulation.comportements_adaptation","list","3","stress thermique dès 26–28°C","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_CORRIDORS","PARAMETRES_CHEVREUIL_CORRIDORS","corridors.corridors_reels_gps","list","0","","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_CORRIDORS","PARAMETRES_CHEVREUIL_CORRIDORS","corridors.connectivite_optimum","list","1","corridors stables entre zones de repos ↔ alimentation","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_CORRIDORS","PARAMETRES_CHEVREUIL_CORRIDORS","corridors.fragmentation_penalty","list","1","fragmentation = augmentation du risque de mortalité","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_CORRIDORS","PARAMETRES_CHEVREUIL_CORRIDORS","corridors.zones_passage_essentielles","list","2","dispersion juvénile influencée par sexe (mâles dispersent davantage)","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"CHEVREUIL","ENGINE_CORRIDORS","PARAMETRES_CHEVREUIL_CORRIDORS","corridors.distances_typiques","list","1","évitement des zones agricoles lors des déplacements","NON","NON","ef6a794d2477c5cc3cb44ab01e833cb1a47bac4a86e1948b9f73910767a9d72a","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
