"espece_id","engine_destination","param_label","bio_profile_path","value_type","value_card","value_preview","is_generic","is_null","source_bio_profile_sha256","doctrine","ordre","generated_at_utc"
"DINDON_SAUVAGE","ENGINE_COMPORTEMENT","PARAMETRES_DINDON_SAUVAGE_COMPORTEMENT","comportements_saisonniers.printemps","dict","5","['deplacements', 'alimentation', 'reproduction', 'habitat', 'raw_bullets']","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_COMPORTEMENT","PARAMETRES_DINDON_SAUVAGE_COMPORTEMENT","comportements_saisonniers.ete","dict","4","['thermoregulation', 'habitat', 'alimentation', 'raw_bullets']","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_COMPORTEMENT","PARAMETRES_DINDON_SAUVAGE_COMPORTEMENT","comportements_saisonniers.automne","dict","4","['rut', 'hyperphagie', 'deplacements', 'raw_bullets']","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_COMPORTEMENT","PARAMETRES_DINDON_SAUVAGE_COMPORTEMENT","comportements_saisonniers.hiver","dict","4","['ravages', 'zones_refuge', 'mobilite', 'raw_bullets']","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_SENSORIEL","PARAMETRES_DINDON_SAUVAGE_SENSORIEL","thermoregulation.seuil_stress","null","0","","NON","OUI","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_SENSORIEL","PARAMETRES_DINDON_SAUVAGE_SENSORIEL","neige.seuil_mobilite","float","1","25.0","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_SENSORIEL","PARAMETRES_DINDON_SAUVAGE_SENSORIEL","neige.seuil_mortalite","null","0","","NON","OUI","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_SENSORIEL","PARAMETRES_DINDON_SAUVAGE_SENSORIEL","thermoregulation.comportements_adaptation","list","3","sensibilité modérée à la chaleur","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_CORRIDORS","PARAMETRES_DINDON_SAUVAGE_CORRIDORS","corridors.corridors_reels_gps","list","0","","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"DINDON_SAUVAGE","ENGINE_CORRIDORS","PARAMETRES_DINDON_SAUVAGE_CORRIDORS","corridors.connectivite_optimum","list","0","","NON","NON","93a59f997ddd4c87118d43e0eb4d3bd366d5b97cc22f74ae06bd1a93cd918401","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
