"espece_id","engine_destination","param_label","bio_profile_path","value_type","value_card","value_preview","is_generic","is_null","source_bio_profile_sha256","doctrine","ordre","generated_at_utc"
"ORIGNAL","ENGINE_COMPORTEMENT","PARAMETRES_ORIGNAL_COMPORTEMENT","comportements_saisonniers.printemps","dict","5","['deplacements', 'alimentation', 'reproduction', 'habitat', 'raw_bullets']","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_COMPORTEMENT","PARAMETRES_ORIGNAL_COMPORTEMENT","comportements_saisonniers.ete","dict","4","['thermoregulation', 'habitat', 'alimentation', 'raw_bullets']","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_COMPORTEMENT","PARAMETRES_ORIGNAL_COMPORTEMENT","comportements_saisonniers.automne","dict","4","['rut', 'hyperphagie', 'deplacements', 'raw_bullets']","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_COMPORTEMENT","PARAMETRES_ORIGNAL_COMPORTEMENT","comportements_saisonniers.hiver","dict","4","['ravages', 'zones_refuge', 'mobilite', 'raw_bullets']","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SENSORIEL","PARAMETRES_ORIGNAL_SENSORIEL","thermoregulation.seuil_stress","float","1","15.5","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SENSORIEL","PARAMETRES_ORIGNAL_SENSORIEL","neige.seuil_mobilite","float","1","65.0","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SENSORIEL","PARAMETRES_ORIGNAL_SENSORIEL","neige.seuil_mortalite","null","0","","NON","OUI","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SENSORIEL","PARAMETRES_ORIGNAL_SENSORIEL","thermoregulation.comportements_adaptation","list","3","stress thermique dès 14–17°C","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CORRIDORS","PARAMETRES_ORIGNAL_CORRIDORS","corridors.corridors_reels_gps","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CORRIDORS","PARAMETRES_ORIGNAL_CORRIDORS","corridors.connectivite_optimum","list","2","corridors stables","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CORRIDORS","PARAMETRES_ORIGNAL_CORRIDORS","corridors.fragmentation_penalty","list","1","fragmentation = réduction de mobilité","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CORRIDORS","PARAMETRES_ORIGNAL_CORRIDORS","corridors.zones_passage_essentielles","list","2","connectivité essentielle","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CORRIDORS","PARAMETRES_ORIGNAL_CORRIDORS","corridors.distances_typiques","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.besoins_proteines","list","1","besoins élevés en protéines au printemps","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.besoins_energetiques","list","1","hyperphagie automnale","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.alimentation_saisonniere.printemps","list","1","besoins élevés en protéines au printemps","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.alimentation_saisonniere.ete","list","1","alimentation aquatique en été","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.alimentation_saisonniere.automne","list","1","hyperphagie automnale","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_NUTRITION","PARAMETRES_ORIGNAL_NUTRITION","nutrition.alimentation_saisonniere.hiver","list","1","dépendance au couvert thermique en hiver","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.types_couverts","list","3","forêts mixtes boréales","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.zones_humides","list","1","zones humides (été)","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.zones_thermiques","list","1","forêts mixtes boréales","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.zones_ouvertes","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.zones_matures","list","1","forêts matures conifériennes (hiver)","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.mosaiques_foret_agriculture","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_TERRITOIRE","PARAMETRES_ORIGNAL_TERRITOIRE","habitat.zones_transition","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_INTERACTIONS","PARAMETRES_ORIGNAL_INTERACTIONS","interactions.competition","list","2","compétition avec cerf de Virginie","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_INTERACTIONS","PARAMETRES_ORIGNAL_INTERACTIONS","interactions.predation","list","1","prédation : loup, ours noir","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_INTERACTIONS","PARAMETRES_ORIGNAL_INTERACTIONS","interactions.partage_corridors","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CLIMAT","PARAMETRES_ORIGNAL_CLIMAT","thermoregulation.seuil_stress","float","1","15.5","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CLIMAT","PARAMETRES_ORIGNAL_CLIMAT","neige.seuil_mortalite","null","0","","NON","OUI","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_CLIMAT","PARAMETRES_ORIGNAL_CLIMAT","dynamique.facteurs","list","3","déclin dans plusieurs régions du Maine / NH (tique d’hiver)","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SITES_CRITIQUES","PARAMETRES_ORIGNAL_SITES_CRITIQUES","sites_critiques.mise_bas","list","1","mise bas : couvert dense, zones isolées","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"ORIGNAL","ENGINE_SITES_CRITIQUES","PARAMETRES_ORIGNAL_SITES_CRITIQUES","sites_critiques.nidification","list","0","","NON","NON","a1275b952bdde581c978d16fb0d916e2b36c624ef14ac86478a428efda14b5df","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
