"espece_id","engine_destination","param_label","bio_profile_path","value_type","value_card","value_preview","is_generic","is_null","source_bio_profile_sha256","doctrine","ordre","generated_at_utc"
"OURS_NOIR","ENGINE_COMPORTEMENT","PARAMETRES_OURS_NOIR_COMPORTEMENT","comportements_saisonniers.printemps","dict","5","['deplacements', 'alimentation', 'reproduction', 'habitat', 'raw_bullets']","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_COMPORTEMENT","PARAMETRES_OURS_NOIR_COMPORTEMENT","comportements_saisonniers.ete","dict","4","['thermoregulation', 'habitat', 'alimentation', 'raw_bullets']","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_COMPORTEMENT","PARAMETRES_OURS_NOIR_COMPORTEMENT","comportements_saisonniers.automne","dict","4","['rut', 'hyperphagie', 'deplacements', 'raw_bullets']","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_COMPORTEMENT","PARAMETRES_OURS_NOIR_COMPORTEMENT","comportements_saisonniers.hiver","dict","4","['ravages', 'zones_refuge', 'mobilite', 'raw_bullets']","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_SENSORIEL","PARAMETRES_OURS_NOIR_SENSORIEL","thermoregulation.seuil_stress","null","0","","NON","OUI","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_SENSORIEL","PARAMETRES_OURS_NOIR_SENSORIEL","neige.seuil_mobilite","null","0","","NON","OUI","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_SENSORIEL","PARAMETRES_OURS_NOIR_SENSORIEL","neige.seuil_mortalite","null","0","","NON","OUI","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_SENSORIEL","PARAMETRES_OURS_NOIR_SENSORIEL","thermoregulation.comportements_adaptation","list","3","tolérance thermique élevée","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_CORRIDORS","PARAMETRES_OURS_NOIR_CORRIDORS","corridors.corridors_reels_gps","list","0","","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"OURS_NOIR","ENGINE_CORRIDORS","PARAMETRES_OURS_NOIR_CORRIDORS","corridors.connectivite_optimum","list","0","","NON","NON","77157a186928d7af16deb8361aa218ef34ec522affa2a197a8bf216d411033bc","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
