"espece_id","engine_destination","param_label","bio_profile_path","value_type","value_card","value_preview","is_generic","is_null","source_bio_profile_sha256","doctrine","ordre","generated_at_utc"
"WAPITI","ENGINE_COMPORTEMENT","PARAMETRES_WAPITI_COMPORTEMENT","comportements_saisonniers.printemps","dict","5","['deplacements', 'alimentation', 'reproduction', 'habitat', 'raw_bullets']","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_COMPORTEMENT","PARAMETRES_WAPITI_COMPORTEMENT","comportements_saisonniers.ete","dict","4","['thermoregulation', 'habitat', 'alimentation', 'raw_bullets']","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_COMPORTEMENT","PARAMETRES_WAPITI_COMPORTEMENT","comportements_saisonniers.automne","dict","4","['rut', 'hyperphagie', 'deplacements', 'raw_bullets']","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_COMPORTEMENT","PARAMETRES_WAPITI_COMPORTEMENT","comportements_saisonniers.hiver","dict","4","['ravages', 'zones_refuge', 'mobilite', 'raw_bullets']","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_SENSORIEL","PARAMETRES_WAPITI_SENSORIEL","thermoregulation.seuil_stress","float","1","22.5","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_SENSORIEL","PARAMETRES_WAPITI_SENSORIEL","neige.seuil_mobilite","float","1","50.0","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_SENSORIEL","PARAMETRES_WAPITI_SENSORIEL","neige.seuil_mortalite","null","0","","NON","OUI","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_SENSORIEL","PARAMETRES_WAPITI_SENSORIEL","thermoregulation.comportements_adaptation","list","4","stress thermique dès 20–25°C","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_CORRIDORS","PARAMETRES_WAPITI_CORRIDORS","corridors.corridors_reels_gps","list","0","","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_CORRIDORS","PARAMETRES_WAPITI_CORRIDORS","corridors.connectivite_optimum","list","2","corridors migratoires stables sur plusieurs années","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_CORRIDORS","PARAMETRES_WAPITI_CORRIDORS","corridors.fragmentation_penalty","list","1","fragmentation = réduction de mobilité + augmentation mortalité","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_CORRIDORS","PARAMETRES_WAPITI_CORRIDORS","corridors.zones_passage_essentielles","list","2","connectivité essentielle entre zones d’alimentation et zones de repos","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_CORRIDORS","PARAMETRES_WAPITI_CORRIDORS","corridors.distances_typiques","list","1","déplacements saisonniers marqués (printemps ↔ automne)","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.besoins_proteines","list","1","besoins élevés en protéines au printemps (graminées, herbacées)","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.besoins_energetiques","list","1","dépendance aux plantes riches en énergie en automne (préparation hivernale)","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.alimentation_saisonniere.printemps","list","1","besoins élevés en protéines au printemps (graminées, herbacées)","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.alimentation_saisonniere.ete","list","1","sélection de végétation fraîche en été pour thermorégulation","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.alimentation_saisonniere.automne","list","1","dépendance aux plantes riches en énergie en automne (préparation hivernale)","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_NUTRITION","PARAMETRES_WAPITI_NUTRITION","nutrition.alimentation_saisonniere.hiver","list","0","","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.types_couverts","list","5","prairies ouvertes adjacentes à forêts mixtes","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.zones_humides","list","0","","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.zones_thermiques","list","0","","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.zones_ouvertes","list","2","prairies ouvertes adjacentes à forêts mixtes","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.zones_matures","list","1","forêts matures pour repos","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.mosaiques_foret_agriculture","list","0","","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_TERRITOIRE","PARAMETRES_WAPITI_TERRITOIRE","habitat.zones_transition","list","1","zones de transition prairie-forêt","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_INTERACTIONS","PARAMETRES_WAPITI_INTERACTIONS","interactions.competition","list","3","compétition avec cerf de Virginie dans zones de chevauchement","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_INTERACTIONS","PARAMETRES_WAPITI_INTERACTIONS","interactions.predation","list","1","prédation sur faons : loup, coyote, ours noir","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
"WAPITI","ENGINE_INTERACTIONS","PARAMETRES_WAPITI_INTERACTIONS","interactions.partage_corridors","list","1","compétition avec cerf de Virginie dans zones de chevauchement","NON","NON","1dd532ee6378a6e8e6a92da28c271d9e0a2df8020d07a695e44e6d1f00279836","BCE-4X_ULTIME_ABSOLU_x3","n°25 — PHASE 3","2026-04-29T12:30:25+00:00"
