"rel_path","size_bytes","lines_code","imports_count","legacy_count","omega_count","classes","functions","max_mccabe","avg_mccabe","decisions","risk","priority","wave","eta_hours","target_migration","candidate_purge_xvii","sha256_now","legacy_imports"
"post_smoothing/terrain_signals_builder.py","15360","286","5","0","1","0","18","27","3.61","47","HIGH","P1","1","12.0","SUPER_ENGINES_Ω (à classifier)","TRUE","a110fc3d36e9b053b5687d534fc8e5ab70d8cdf245e442d4287e06ab78726f44",""
"post_smoothing/p1_preparation.py","24504","424","7","0","3","0","13","22","6.54","72","HIGH","P1","1","12.0","SUPER_ENGINES_Ω (à classifier)","TRUE","0144ca6155b784cb326a72bcbc162a69647e369db6ddd3fd3ca70815c181922c",""
"reseau_veineux_omega/router.py","13401","274","5","0","1","0","11","14","3.64","29","HIGH","P1","1","12.0","SUPER_ENGINES_Ω (à classifier)","TRUE","0e2eb7cbed7eec7a2691c5c786797c1e89017f4c154261dfd51f3324af2fc389",""
"bio_scoring_omega/router.py","3768","90","5","0","1","0","3","10","4.33","10","HIGH","P1","1","6.0","SUPER_ENGINES_Ω (à classifier)","TRUE","690b9b8d90286b85744442715b88b58b8c02f12baf948692794c06927a20cc2e",""
"post_smoothing/predictive_integration.py","11632","230","6","0","1","0","10","8","4.0","30","MEDIUM","P1","1","8.4","SUPER_ENGINES_Ω (à classifier)","TRUE","47dfb202ea545ea46ef36d1862b62b77a70b1f20ae7cabfb59f3805553e17ad5",""
"predictive_omega/router.py","6275","147","9","0","3","0","7","5","2.43","10","MEDIUM","P1","1","4.2","SUPER_ENGINES_Ω (à classifier)","TRUE","09b15150fc1ba4e3297d8c781b0c2c1fee918704083567daa6bfc40a35fab12d",""
"post_smoothing/organic_corridor_smoother.py","40519","636","12","1","1","0","16","41","10.88","158","HIGH","P0","2","24.0","BIO_REACTEUR_Ω (corridors)","FALSE","7cf53689fb7f42b77ab134d3bed87ad7ed1da9572283a87e07e38b889a127619","engines.v8_institutional"
"v8_national/exclusion_engine.py","21373","389","7","1","0","0","5","55","12.8","59","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","42cbed5d1c99066b45baa424e1a5819ab7286b57e6c54bb665277571dbd4cfec","modules.canada_v72.data"
"hunt_orchestrator/orchestrator.py","17823","366","12","0","0","0","5","39","11.6","53","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","2f78a3f0129eaa56c59a2abbad03ca774e7631e42a3904d84d47eb9502a2b992",""
"terrain_nav/terrain_graph.py","11787","252","3","0","0","1","6","38","9.5","51","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","039f120f296a4661cb2b873d02eaa816a19ae6fb18e0e75d39d24aeace996398",""
"v8_national/router.py","13203","259","14","3","0","0","9","37","7.33","57","HIGH","P0","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","f18a2e5b35a832da9d9bb1345f43222412ab4b5fe02d8037ff507648765b66ed","engines.v8_national.exclusion_engine|engines.v8_national.governance|modules.canada_v72.data"
"nutrition_intelligence/router.py","35742","672","17","2","0","15","41","34","2.54","63","HIGH","P0","3","24.0","SUPER_ENGINES_Ω (à classifier)","FALSE","f75762f4e9344fc9ecd6f696bbe616c18c6a317c9e3de09d6c1d5136f57bd6e7","engines.supra_advanced.territory_bridge|modules.nutrition_engine_v7.pipeline"
"post_smoothing/renduomega.py","28821","501","5","0","0","0","16","29","9.06","129","HIGH","P1","3","24.0","SUPER_ENGINES_Ω (à classifier)","FALSE","1c14ec3edf789e46d9549fc9e18eeb7e1306ce527c61bc052f334aef9aa79b3c",""
"v8_institutional/species_presence_mask_omega.py","15218","247","4","0","0","0","6","23","6.83","35","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","9a0b42a9f2ea097cd4d4f25dcfe7a58f9ce062062e628c33a5b0e3146a67c290",""
"bdre/corridor_optimizer_v2.py","23822","480","4","0","0","0","8","20","11.5","84","HIGH","P1","3","12.0","BIO_REACTEUR_Ω (corridors)","FALSE","f8dedd4109df8cc5a10e279980249973b2e9ae9121b82a90b2747ce4037a4f47",""
"weather_v3/router.py","13020","326","8","0","0","0","12","20","6.42","65","HIGH","P1","3","12.0","SUPER_ENGINES_Ω (à classifier)","FALSE","636db94adbdd9cbd1ef38108a4a7bc276faaa600566ddf5f86475297ab9b4c55",""
