"abs_path","rel_path","reason","action","sha256_before"
"/app/backend/engines/bdre/audit_logger.py","bdre/audit_logger.py","sentinel:fallback_assignment|orphan","SAFE_TO_PURGE","0cf0aeaee2481bfdd7ac9a7e3239804e12f796f5f32abbe06925d32314e1d5c8"
"/app/backend/engines/bdre/quality_scorer.py","bdre/quality_scorer.py","sentinel:fallback_assignment|orphan","SAFE_TO_PURGE","20d8f43df07515160d360addd7d5ee51b678eb716b1d46aae69464984e668d25"
"/app/backend/engines/bdre/router.py","bdre/router.py","sentinel:fallback_assignment|orphan","KEPT_FOR_INTEGRITY","c3daf59360e065abdfaa5bf9d275038a40ec049407982189563f904a5b7b51a3"
"/app/backend/engines/spatial_engine_v7/router.py","spatial_engine_v7/router.py","sentinel:placeholder_keyword|legacy:LEGACY_V7","KEPT_FOR_INTEGRITY","adcd1b22918466eb3f05e0d40618feae49d087c4a010eb28c3c28b8e1f817968"
"/app/backend/engines/v8_institutional/species_presence_mask_omega.py","v8_institutional/species_presence_mask_omega.py","sentinel:fallback_assignment","KEPT_FOR_INTEGRITY","9a0b42a9f2ea097cd4d4f25dcfe7a58f9ce062062e628c33a5b0e3146a67c290"
"/app/backend/engines/supra_engine_v7/__init__.py","supra_engine_v7/__init__.py","legacy:LEGACY_SUPRA","KEPT_FOR_INTEGRITY","f22160ec405072494e0ab0c67c73d85e1eb559fb1c0894d08bbb37384d729a94"
"/app/backend/engines/supra_advanced/__init__.py","supra_advanced/__init__.py","legacy:LEGACY_SUPRA","KEPT_FOR_INTEGRITY","06bbb37510fa098d2261e6a97008a0df59d9f1d45c7bb6bc65359d0d2fcd7558"
"/app/backend/engines/supra_engine_v7/router.py","supra_engine_v7/router.py","legacy:LEGACY_SUPRA","KEPT_FOR_INTEGRITY","853c38ba273a98409bfe84098104a5279ef5d60db72a38818ccea7c65a6f0d52"
"/app/backend/engines/supra_advanced/router.py","supra_advanced/router.py","legacy:LEGACY_SUPRA","KEPT_FOR_INTEGRITY","e59bb9491b2c35b9de146bf86697f4bd0f5a8eca599a4161296abedbb7f3e8df"
"/app/backend/engines/supra_advanced/territory_bridge.py","supra_advanced/territory_bridge.py","legacy:LEGACY_SUPRA","SAFE_TO_PURGE","01638845bee9333b6b6ea10e936d8280822f56408d010c9a331e7811a114c3ed"
"/app/backend/engines/spatial_engine_v7/__init__.py","spatial_engine_v7/__init__.py","legacy:LEGACY_V7","KEPT_FOR_INTEGRITY","5776153084c2e9b097b8255f85c10616c83307a94170eff660965fd4ac37041f"
"/app/backend/engines/v8_national/__init__.py","v8_national/__init__.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","345acca0100309a5da9a6ed92120018346ebdb9da3dbd9132242a2adb18d2e84"
"/app/backend/engines/v8_national/exclusion_engine.py","v8_national/exclusion_engine.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","42cbed5d1c99066b45baa424e1a5819ab7286b57e6c54bb665277571dbd4cfec"
"/app/backend/engines/v8_national/governance.py","v8_national/governance.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","690ff6835b7eea1bbfc90e5f6b11171dc6e77f25f1732f0efd1f7106e19d87b8"
"/app/backend/engines/v8_national/map_bundle.py","v8_national/map_bundle.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","05329cc8c3d2d21945ea4efe146e294d3ee044198e54161f94867dd8455253b7"
"/app/backend/engines/v8_national/p1_pipelines.py","v8_national/p1_pipelines.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","ba2d682e255481db3904731933cad57e464f85e7c0e8a01d6415d4d28f997e80"
"/app/backend/engines/v8_national/phase_a_engines.py","v8_national/phase_a_engines.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","32f454152ef7dea2f1ee55d394bc9d3d9d2b51154f293a43dcb2b00c0146877b"
"/app/backend/engines/v8_national/phase_b_engines.py","v8_national/phase_b_engines.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","ede994e06f35459e0286acbe32c490c10f3deeec9c19086e2e0df7924cca351f"
"/app/backend/engines/v8_national/phase_c_engines.py","v8_national/phase_c_engines.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","51746ac46e3b629a7cd1b631ddd90ab14ab4a0c447e333e41c80112898289faa"
"/app/backend/engines/v8_national/referentials.py","v8_national/referentials.py","legacy:LEGACY_V8","SAFE_TO_PURGE","0c610c3466b853a6a7a66643821ba6ca454ac0affc9af4302da45a83de6daa06"
"/app/backend/engines/v8_national/router.py","v8_national/router.py","legacy:LEGACY_V8","KEPT_FOR_INTEGRITY","f18a2e5b35a832da9d9bb1345f43222412ab4b5fe02d8037ff507648765b66ed"
"/app/backend/engines/wildlife_behavior_omega/__init__.py","wildlife_behavior_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","8424303e2ced6375a4bb2736f4a354073036daa50c682916f1e42508fda8faed"
"/app/backend/engines/terrain_3d_omega/__init__.py","terrain_3d_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","5f25b11a7171ecb8cb5db419ba86a8d0a485d8656838f3d38236c027b77eeab1"
"/app/backend/engines/bdre/__init__.py","bdre/__init__.py","orphan","KEPT_FOR_INTEGRITY","b2412b738ac1b8efba611e160b7d02c6503742d01a1ace1645e7b9d415f6d02d"
"/app/backend/engines/hunt_orchestrator/__init__.py","hunt_orchestrator/__init__.py","orphan","KEPT_FOR_INTEGRITY","3374506dd2048070428ac80058ec70810aa3ee33a49842c9afc5c9f0c4df6a5a"
"/app/backend/engines/ecoforestry_omega/__init__.py","ecoforestry_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","4f3ab419d74e3f11ec9ecae9d6fbc6ad4545157a6b2b0d081f3937f1a0b911f9"
"/app/backend/engines/nutrition_intelligence/__init__.py","nutrition_intelligence/__init__.py","orphan","KEPT_FOR_INTEGRITY","27d3d1e9d6942326c5ea9f1af888fd03d0f8e374121aa03fc85d0c7cf2b331c0"
"/app/backend/engines/bio_scoring_omega/__init__.py","bio_scoring_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","941fa23447776dbfc96b9e9dcc6cb6fea9c0923c3efcc1884fa2c25044915417"
"/app/backend/engines/corridor_unified/__init__.py","corridor_unified/__init__.py","orphan","SAFE_TO_PURGE","0b90008baa28d92cf0befd42e7e7957b4590d2718fc6beea6453232d9d5359e9"
"/app/backend/engines/legal_time_omega/__init__.py","legal_time_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","5724b7d5ed8e894a29a6fb7caec76d8646b4532374f755382ca7b8af15b12f18"
"/app/backend/engines/hydro_topo_omega/__init__.py","hydro_topo_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","bdeef00259211b3201802b5ee687f56641b2b100cc9ee6efd45f544d17de3cf6"
"/app/backend/engines/eco_zones_omega/__init__.py","eco_zones_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","f5e350081f45316358a360aa7c59ceaaf3e5ba2bdb1e4bb87c95d490d80f49bc"
"/app/backend/engines/terrain_nav/__init__.py","terrain_nav/__init__.py","orphan","KEPT_FOR_INTEGRITY","ed8a4f58a9e3a795ba23de3bf7a46d646778bb79efa4bdccd85d22b7574377af"
"/app/backend/engines/reseau_veineux_omega/__init__.py","reseau_veineux_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","17954cdf7161b634b5b12e8e6c7ad450bf8c6399841c7556e6a352db576c90b0"
"/app/backend/engines/weather_v3/__init__.py","weather_v3/__init__.py","orphan","KEPT_FOR_INTEGRITY","07356eb74fd40746885ba4e65bfa1078c412e0183d0ddad801e40070a2bb827d"
"/app/backend/engines/relocation/__init__.py","relocation/__init__.py","orphan","SAFE_TO_PURGE","70a5257b66fa238aef59001f182349e8bbc5e4e622fa8056ae66e8455193bb3f"
"/app/backend/engines/advanced_geospatial_omega/__init__.py","advanced_geospatial_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","c9d83e77b014e5dc05cf8eccd9a945a4d2f26a3047ab8d3d819705daea5d43b2"
"/app/backend/engines/predictive_omega/__init__.py","predictive_omega/__init__.py","orphan","KEPT_FOR_INTEGRITY","95c1a1fbf60c81c3f267bedd617cb5cbb3b96326ff0df62c0a5537f74ab204c3"
"/app/backend/engines/post_smoothing/__init__.py","post_smoothing/__init__.py","orphan","KEPT_FOR_INTEGRITY","d8bea42c1665da903f0b0ba3bb945768efa896bf5949be1353c1ef0b46c9c9e2"
"/app/backend/engines/hunt_orchestrator/access_engine.py","hunt_orchestrator/access_engine.py","orphan","SAFE_TO_PURGE","1f6d82167783d9ca11c5a59d86c1da7459ef4d5117a6aeb17044e42814321614"
"/app/backend/engines/bdre/anomaly_detector.py","bdre/anomaly_detector.py","orphan","SAFE_TO_PURGE","396741ae948b2e5ed7ef399cbf0d2c38fd991f6b95b6349c89ff925d29c1b50b"
"/app/backend/engines/post_smoothing/anti_regression_omega.py","post_smoothing/anti_regression_omega.py","orphan","KEPT_FOR_INTEGRITY","c644223b4c90fd36bc58f6be2ee4c78634b035f88aaf548ed0bfff04e8893d7a"
"/app/backend/engines/post_smoothing/baseline_registry_omega.py","post_smoothing/baseline_registry_omega.py","orphan","BLOCKED_FROZEN","6712bc21dd619fef44a7c948c48a0eba74670c77d09cc7799f7794d91d6d2d1e"
"/app/backend/engines/relocation/candidate_generator.py","relocation/candidate_generator.py","orphan","SAFE_TO_PURGE","d49a6f3ae5f9ad544eae5db0093072ab4a607184cacc0909fb9e89cc66ec305f"
"/app/backend/engines/hunt_orchestrator/choix_affuts.py","hunt_orchestrator/choix_affuts.py","orphan","SAFE_TO_PURGE","846af306006ce60a6f8e8827810e2036eb024017d79f1f1248405688a16969bd"
"/app/backend/engines/corridor_unified/corridor_builder.py","corridor_unified/corridor_builder.py","orphan","SAFE_TO_PURGE","f4e4f98d4e5b483cc074f361587e9edd0f28e12c8548057c2eb50a37fba90557"
"/app/backend/engines/corridor_unified/corridor_model.py","corridor_unified/corridor_model.py","orphan","SAFE_TO_PURGE","bd85c47997f3a690a001d9a00fd564c7f237a286641845fee61f8b456e8ba255"
